latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,vpd,tmmx_C,pr,wind_speed,wind_direction,
33.71559,-117.71271,316.1,0.45,0.39,1/16/2016,927,N,VIIRS,n,2,279.54,1.73,N,0,0.81826925,21.389008,2.1343408,3.098901,198.63461,
33.71546,-117.70947,325.04,0.41,0.37,1/16/2016,2046,N,VIIRS,n,2,291.93,2.04,D,0,0.81826925,21.389008,2.1343408,3.098901,198.63461,
34.29208,-118.80096,295.55,0.51,0.41,1/16/2017,1003,N,VIIRS,n,2,278.69,0.94,N,2,0.8606044,21.211548,2.2247252,3.1618133,176.43681,
34.09505,-117.53361,296.69,0.52,0.41,1/16/2018,919,N,VIIRS,n,2,259.41,1.37,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.60977,-117.33633,302.34,0.59,0.52,1/16/2019,1015,N,VIIRS,n,2,277.1,1.6,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.33397,-118.52121,317.8,0.43,0.38,1/16/2020,931,N,VIIRS,n,2,276.71,1.92,N,2,1.004478,21.653564,2.6324177,3.3162088,194.5467,
34.09392,-117.52785,327.03,0.38,0.36,1/16/2020,2050,N,VIIRS,n,2,294.25,2.18,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.336,-118.5193,321.25,0.42,0.45,1/16/2021,1008,N,VIIRS,n,2,287.73,1.54,N,2,1.004478,21.653564,2.6324177,3.3162088,194.5467,
33.81905,-118.24193,298.98,0.44,0.46,1/16/2021,1009,N,VIIRS,n,2,288.25,1.4,N,2,0.7206044,21.610718,1.5906594,2.3010988,216.10165,
34.62208,-117.09859,300.92,0.43,0.38,1/16/2022,925,N,VIIRS,n,2,277.13,1.49,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.62091,-117.10045,326.26,0.39,0.36,1/16/2022,2045,N,VIIRS,n,2,300.04,1.68,D,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.15363,-118.19396,307.46,0.39,0.36,1/16/2024,938,N,VIIRS,n,2,276.4,1.21,N,2,1.0561813,23.195343,2.454945,2.4376373,186.12637,
34.31942,-117.84001,331.02,0.39,0.36,1/16/2024,2057,N,VIIRS,n,2,288.53,3.33,D,0,0.993489,15.942596,4.039835,4.621703,194.32143,
34.08007,-117.50401,296.95,0.7,0.75,1/16/2025,835,N,VIIRS,n,2,276.86,1.25,N,0,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
33.85302,-118.33499,295.15,0.54,0.51,1/16/2025,1016,N,VIIRS,n,2,283.09,2.35,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
33.85276,-118.33169,306.13,0.41,0.37,1/17/2015,957,N,VIIRS,n,2,289.58,1.93,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.09399,-117.5272,328.81,0.5,0.41,1/17/2015,2116,N,VIIRS,n,2,301.32,3,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
33.77802,-118.23616,298.44,0.55,0.51,1/17/2016,908,N,VIIRS,n,2,286.3,1.14,N,2,0.74436814,21.822815,1.4532967,2.418956,216.10165,
34.09367,-117.52778,326.79,0.4,0.37,1/17/2017,944,N,VIIRS,n,2,280.82,2.88,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.39865,-118.96475,348.45,0.4,0.37,1/17/2017,2103,N,VIIRS,n,2,301.05,20.03,D,0,1.0617583,22.15329,2.8513737,3.0401099,184.04945,
